These,CDU / CSU,GRÜNE,SPD,AfD,Die Linke,FDP
Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu
Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu
Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,neutral
"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu
Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,stimme zu,stimme zu,stimme zu,neutral,stimme nicht zu,stimme zu
Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu
Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.,neutral,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu
Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme zu
Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme zu
Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu
Der gesetzliche Mindestlohn soll spätestens 2026 auf 15 Euro erhöht werden.,neutral,stimme zu,stimme zu,neutral,stimme zu,stimme nicht zu
"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu
Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme zu
Deutschland soll sich für die Abschaffung der erhöhten EU-Zölle auf chinesische Elektroautos einsetzen.,neutral,stimme zu,neutral,stimme zu,stimme zu,stimme zu
Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,stimme zu,stimme zu,neutral,neutral,stimme zu
Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme nicht zu
Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.,stimme zu,stimme nicht zu,stimme nicht zu,neutral,stimme nicht zu,stimme zu
Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu
Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,neutral
Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,neutral,stimme nicht zu
Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu
Für junge Erwachsene soll ein soziales Pflichtjahr eingeführt werden.,stimme zu,stimme nicht zu,stimme nicht zu,neutral,stimme nicht zu,stimme nicht zu
Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme zu,neutral,stimme zu,stimme zu,stimme nicht zu,neutral
In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme nicht zu,stimme nicht zu,neutral,stimme nicht zu,stimme zu,stimme nicht zu
In Deutschland soll es auf Bundesebene Volksentscheide geben können.,stimme nicht zu,stimme nicht zu,neutral,stimme zu,stimme zu,stimme nicht zu
"In Deutschland soll es weiterhin generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme zu
Neue Heizungen sollen auch zukünftig vollständig mit fossilen Brennstoffen (z. B. Gas oder Öl) betrieben werden dürfen.,stimme zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu
Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.,stimme zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,neutral
Unter 14-Jährige sollen strafrechtlich belangt werden können.,stimme zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu
Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
